sensor_id,blade_id,StartLap,EndLap,LapCount,PulseCount,WidePointCount,SelectedPointCount,xc_mm,xc_seed_mm,center_gap_mm,SelectedWidthMm,RMSE,BoundRatio,LocalXcMAD,PulseXcMAD,HalfTemplateRMSE,HalfXcShiftMm,HalfAmplitudeRelShift,LeftGradientRatio,RightGradientRatio,WidthDeficit,PointDeficit,IsStableCandidate,ChosenScore,Reason
3,5,50,69,20,20,242867,242867,-0.00190593061671503,-0.00573878063626419,0.00383285001954916,14.1628508733805,0.0271142764153963,0.0426733863662566,2.83915587028785e-05,0.00771303672509034,0.00414172772282559,0.00235056046178038,0.000657713336659458,0.50033733421262,0.49966266578738,0,0,1,0.66491157081893,static_fit_scored_candidate
3,5,51,70,20,20,242818,242818,-0.00168715387601119,-0.00393553509674752,0.00224838122073633,14.1597263024248,0.027024852269747,0.0424511984185817,0.000218776740703842,0.00643180956280322,0.00513207985873772,0.00300894199355997,0,0.500278824386593,0.499721175613407,0,0,1,0.0566127218144724,static_fit_scored_candidate
3,5,52,71,20,20,242759,242759,-0.00227040855838416,-0.00573878063626419,0.00346837207788003,14.1565317990742,0.0271479795577414,0.0422474872301862,0.000151413867059328,0.00548903876027705,0.00452606900491443,0.00476245276744346,0.000658146208198661,0.500143300866501,0.499856699133499,0,0,1,0.525711099458216,static_fit_scored_candidate
3,5,53,72,20,20,242753,242753,-0.00183856774307051,-0.0049055522468433,0.00306698450377279,14.1561028127036,0.0272467690046132,0.0422152284598527,0.000267333018306656,0.0053762135336331,0.00484237370711565,0.0039404259325905,0.0013158594024586,0.500186474131857,0.499813525868143,0,0,1,0.371941390291166,static_fit_scored_candidate
3,5,54,73,20,20,242766,242766,-0.00157123472476386,-0.00305548097034554,0.00148424624558168,14.1568888526489,0.0271295073773939,0.0422790483094971,4.36520184444087e-05,0.00487725838427162,0.00424920899833558,0.00356757392485408,0,0.500386773001748,0.499613226998252,0,0,1,0.0227114563298523,static_fit_scored_candidate
3,5,55,74,20,20,242683,242683,-0.00152758270631945,-0.0049055522468433,0.00337796954052385,14.1520581156428,0.0270463938303785,0.0419640355359233,4.36520184444087e-05,0.00633166342439973,0.00436459311956186,0.00245602797426362,0.000658146208198661,0.500233014129036,0.499766985870964,0,0,1,0.492276908264112,static_fit_scored_candidate
3,5,56,75,20,20,242743,242743,-0.0016899407978527,-0.00495276101564241,0.00326282021778971,14.1556962630878,0.0272803931599244,0.0421843588307023,7.9422456470852e-05,0.00588352246749161,0.00486701698945921,0.000328720035973321,0,0.500183499111075,0.499816500888925,0,0,1,0.44845858817457,static_fit_scored_candidate
3,5,57,76,20,20,242723,242723,-0.0014481602498486,-0.00314951547612574,0.00170135522627715,14.1545128441789,0.0272094124919149,0.04210543662761,0.000208622858104219,0.00579998433110682,0.00452200062745874,0.00225892329161424,0.0013158594024586,0.50032346379963,0.49967653620037,0,0,1,0.0239833781395648,static_fit_scored_candidate
3,5,58,77,20,20,242595,242595,-0.00123953739174438,-0.00314951547612574,0.00190997808438136,14.1469520327119,0.0272322844799305,0.0416000263813088,8.49601490388301e-06,0.00658464567550048,0.00564771626549957,0.00442426544379957,0.000658146208198661,0.500139697971015,0.499860302028985,0,0,1,0.0243813260343367,static_fit_scored_candidate
3,5,59,78,20,20,242733,242733,-0.00143966423494471,-0.00367197895491292,0.00223231471996821,14.1549468531891,0.0272154072261201,0.0417078636872981,3.94914329309101e-05,0.00578501938289268,0.00536184312722013,0.00843532468045784,0,0.500177402375289,0.499822597624711,0,0,1,0.0538429139129531,static_fit_scored_candidate
