case_name,event_id,rev_id,event_in_rev,opr_reference_time_s,opr_timing_reference,opr_center_time_s,opr_start_time_s,opr_end_time_s,opr_width_s,center_offset_s,opr_peak_value,center_quality,source_file_id,rev_period_s,rpm,opr_events_per_revolution
1000_2500_3500,3712,619,4,24.5461886,threshold_rising_edge,24.5463354751731,24.5461886,24.5464874,0.000298799999999488,-2.52482685425548e-06,4.7703354846212,1,13000,0.031906799999998,1880.47688893915,6
1000_2500_3500,3713,619,5,24.5515438,threshold_rising_edge,24.5516622706064,24.5515438,24.5517854,0.000241599999998954,-2.32939364508411e-06,4.78522007093436,1,13000,0.0319033999999974,1880.67729458318,6
1000_2500_3500,3714,619,6,24.556857,threshold_rising_edge,24.5569830457847,24.556857,24.5571156,0.000258599999998665,-3.25421529367986e-06,4.78033606605035,1,13000,0.031900199999999,1880.86595068375,6
1000_2500_3500,3715,620,1,24.562148,threshold_rising_edge,24.5623166985887,24.562148,24.5624902,0.000342199999998627,-2.40141131158111e-06,4.92266992266992,1,13000,0.0318976000000006,1881.0192616372,6
1000_2500_3500,3716,620,2,24.567492,threshold_rising_edge,24.5676080337291,24.567492,24.5677278,0.000235799999998676,-1.86627094223013e-06,4.78580150008722,1,13000,0.0318963999999973,1881.09002896895,6
1000_2500_3500,3717,620,3,24.5728098,threshold_rising_edge,24.5729311483932,24.5728098,24.5730558,0.000245999999997082,-1.65160683707199e-06,4.79533693819408,1,13000,0.0318947999999999,1881.18439369428,6
1000_2500_3500,3718,620,4,24.5780954,threshold_rising_edge,24.5782422835462,24.5780954,24.578394,0.000298600000000704,-2.41645381748867e-06,4.78917378917379,1,13000,0.0318932000000025,1881.27876788768,6
1000_2500_3500,3719,620,5,24.5834472,threshold_rising_edge,24.5835654799294,24.5834472,24.5836886,0.000241400000000169,-2.42007055817339e-06,4.75370661084947,1,13000,0.0318912000000005,1881.39674894639,6
1000_2500_3500,3720,620,6,24.5887572,threshold_rising_edge,24.5888830349956,24.5887572,24.5890158,0.000258599999998665,-3.46500436165798e-06,4.79184836327694,1,13000,0.0318894000000007,1881.50294455206,6
1000_2500_3500,3721,621,1,24.5940456,threshold_rising_edge,24.5942146350772,24.5940456,24.5943884,0.000342799999998533,-2.3649227784972e-06,4.91836734693878,1,13000,0.0318869999999976,1881.64455734326,6
1000_2500_3500,3722,621,2,24.5993884,threshold_rising_edge,24.5995044707956,24.5993884,24.5996242,0.000235800000002229,-1.82920438618339e-06,4.77696377696378,1,13000,0.0318832000000029,1881.8688211972,6
1000_2500_3500,3723,621,3,24.6047046,threshold_rising_edge,24.6048259187582,24.6047046,24.6049506,0.000245999999997082,-1.68124182664542e-06,4.75207860922147,1,13000,0.0318793999999976,1882.09313851593,6
1000_2500_3500,3724,621,4,24.6099886,threshold_rising_edge,24.6101354048092,24.6099886,24.6102872,0.000298599999997151,-2.49519074912996e-06,4.77754520611664,1,13000,0.0318757999999981,1882.30569899433,6
1000_2500_3500,3725,621,5,24.6153384,threshold_rising_edge,24.6154569728511,24.6153384,24.6155796,0.000241200000001385,-2.02714893760003e-06,4.81254724111867,1,13000,0.0318712000000012,1882.57737393,6
1000_2500_3500,3726,621,6,24.6206466,threshold_rising_edge,24.6207726562149,24.6206466,24.6209054,0.000258800000001003,-3.34378510302713e-06,4.76824233967091,1,13000,0.0318672000000007,1882.81367675851,6
1000_2500_3500,3727,622,1,24.6259326,threshold_rising_edge,24.6261013488482,24.6259326,24.6262748,0.00034220000000218,-2.35115184921142e-06,4.91592534449677,1,13000,0.0318630000000013,1883.06185858198,6
1000_2500_3500,3728,622,2,24.6312716,threshold_rising_edge,24.6313874254172,24.6312716,24.6315068,0.00023519999999877,-1.77458281314102e-06,4.76800976800977,1,13000,0.0318607999999969,1883.19188469862,6
1000_2500_3500,3729,622,3,24.636584,threshold_rising_edge,24.6367052727605,24.636584,24.6368298,0.00024580000000185,-1.6272395271244e-06,4.77289377289377,1,13000,0.0318585999999996,1883.32192877279,6
1000_2500_3500,3730,622,4,24.6418644,threshold_rising_edge,24.6420112006778,24.6418644,24.6421628,0.000298400000001919,-2.39932222356742e-06,4.77498691784406,1,13000,0.0318576000000022,1883.38104565303,6
1000_2500_3500,3731,622,5,24.6472096,threshold_rising_edge,24.6473280633551,24.6472096,24.6474504,0.000240800000000263,-1.93664486047851e-06,4.77940577940578,1,13000,0.0318566000000011,1883.44016624492,6
1000_2500_3500,3732,622,6,24.6525138,threshold_rising_edge,24.6526396126536,24.6525138,24.6527722,0.000258399999999881,-3.38734643534622e-06,4.79056921914065,1,13000,0.0318553999999978,1883.5111158549,6
1000_2500_3500,3733,623,1,24.6577956,threshold_rising_edge,24.657964283488,24.6577956,24.6581376,0.000341999999999842,-2.31651199555927e-06,4.90825047967905,1,13000,0.0318538000000004,1883.6057236499,6
1000_2500_3500,3734,623,2,24.6631324,threshold_rising_edge,24.6632481995859,24.6631324,24.6633676,0.000235200000002322,-1.80041414310494e-06,4.75963718820862,1,13000,0.0318518000000019,1883.72399675988,6
1000_2500_3500,3735,623,3,24.6684426,threshold_rising_edge,24.6685638649902,24.6684426,24.6686884,0.00024580000000185,-1.63500981642528e-06,4.78312692598407,1,13000,0.0318494000000022,1883.86594409928,6
1000_2500_3500,3736,623,4,24.673722,threshold_rising_edge,24.6738686309719,24.673722,24.6740202,0.000298199999999582,-2.46902811085192e-06,4.76498633641491,1,13000,0.031847599999999,1883.97241864385,6
1000_2500_3500,3737,623,5,24.6790662,threshold_rising_edge,24.6791846571816,24.6790662,24.6793072,0.000240999999999048,-2.04281836602149e-06,4.77963835106692,1,13000,0.0318439999999995,1884.18540384377,6
1000_2500_3500,3738,623,6,24.6843692,threshold_rising_edge,24.6844949987928,24.6843692,24.6846274,0.000258200000001096,-3.30120716540705e-06,4.76998662712948,1,13000,0.0318406000000024,1884.38660075487,6
1000_2500_3500,3739,624,1,24.6896494,threshold_rising_edge,24.6898179845787,24.6896494,24.6899912,0.000341800000001058,-2.31542128403817e-06,4.92325135182278,1,13000,0.0318369999999994,1884.59967961809,6
1000_2500_3500,3740,624,2,24.6949842,threshold_rising_edge,24.6951000328244,24.6949842,24.6952196,0.000235400000001107,-1.86717560168859e-06,4.76231176231176,1,13000,0.0318341999999987,1884.76544094095,6
1000_2500_3500,3741,624,3,24.700292,threshold_rising_edge,24.7004132659591,24.700292,24.7005378,0.000245799999998297,-1.63404084929653e-06,4.77510320367463,1,13000,0.031830799999998,1884.96676175288,6
1000_2500_3500,3742,624,4,24.7055696,threshold_rising_edge,24.7057160384248,24.7055696,24.7058674,0.00029779999999846,-2.46157515348955e-06,4.79603465317751,1,13000,0.031826800000001,1885.20366483586,6
1000_2500_3500,3743,624,5,24.7109102,threshold_rising_edge,24.7110283578956,24.7109102,24.7111508,0.000240599999997926,-2.14210444227092e-06,4.77487063201349,1,13000,0.0318234000000004,1885.40507928126,6
1000_2500_3500,3744,624,6,24.7162098,threshold_rising_edge,24.716335324011,24.7162098,24.7164676,0.000257799999999975,-3.3759890349927e-06,4.81510552939124,1,13000,0.0318205999999996,1885.57098231965,6
