gap_true_mm,vib_A_mm,vib_f_Hz,eta,gHat_raw_corr_mm,gHat_raw_rmse_mm,gHat_width_mm,err_raw_corr_mm,err_raw_rmse_mm,err_width_mm,raw_corr_correct,raw_rmse_correct,width_correct,best_raw_corr,best_width_dist,width_correct_rank,width_separability
0.6,0.7,400,0.00586430628670095,0.6,0.6,0.6,0,0,0,1,1,1,0.999990498716821,0.000345540406689529,1,4.79194596246512
0.6,0.7,600,0.00879645943005142,0.6,0.6,0.6,0,0,0,1,1,1,0.999978978967915,0.000487367680574244,1,2.86891134800031
0.6,0.7,800,0.0117286125734019,0.6,0.6,0.6,0,0,0,1,1,1,0.999962701201267,0.000621195236156218,1,1.86468288240607
0.6,0.7,1000,0.0146607657167524,0.6,0.6,0.6,0,0,0,1,1,1,0.999941569575971,0.000793820973526083,1,1.08116568791328
0.6,1,0,0,0.6,0.6,0.6,0,0,0,1,1,1,1,2.30137075393447e-17,1,10257232598084.2
0.6,1,200,0.00418879020478639,0.6,0.6,0.6,0,0,0,1,1,1,0.999995143190321,0.00025583265712685,1,7.104473010148
0.6,1,400,0.00837758040957278,0.6,0.6,0.6,0,0,0,1,1,1,0.999980870182077,0.000469926875860515,1,3.04479518650535
0.6,1,600,0.0125663706143592,0.6,0.6,0.6,0,0,0,1,1,1,0.999957061390063,0.000663764630963773,1,1.63344783181353
0.6,1,800,0.0167551608191456,0.6,0.6,0.6,0,0,0,1,1,1,0.99992425146495,0.000921137110639964,1,0.693676469367594
0.6,1,1000,0.020943951023932,0.6,0.6,0.6,0,0,0,1,1,1,0.999882614517376,0.00112913552116917,1,0.256067213725135
0.8,0,0,0,0.8,0.8,0.8,0,0,0,1,1,1,1,2.19427091786044e-17,1,7538168888404.92
0.8,0,200,0,0.8,0.8,0.8,0,0,0,1,1,1,1,2.19427091786044e-17,1,7538168888404.92
0.8,0,400,0,0.8,0.8,0.8,0,0,0,1,1,1,1,2.19427091786044e-17,1,7538168888404.92
0.8,0,600,0,0.8,0.8,0.8,0,0,0,1,1,1,1,2.19427091786044e-17,1,7538168888404.92
0.8,0,800,0,0.8,0.8,0.8,0,0,0,1,1,1,1,2.19427091786044e-17,1,7538168888404.92
0.8,0,1000,0,0.8,0.8,0.8,0,0,0,1,1,1,1,2.19427091786044e-17,1,7538168888404.92
0.8,0.05,0,0,0.8,0.8,0.8,0,0,0,1,1,1,1,3.86341261956331e-17,1,7538168888404.97
0.8,0.05,200,0.00020943951023932,0.8,0.8,0.8,0,0,0,1,1,1,0.999999989043077,1.76219531048568e-05,1,94.5266079332474
0.8,0.05,400,0.000418879020478639,0.8,0.8,0.8,0,0,0,1,1,1,0.999999956383764,3.54357735323878e-05,1,46.7799860531226
0.8,0.05,600,0.000628318530717959,0.8,0.8,0.8,0,0,0,1,1,1,0.999999902358803,5.39562739087664e-05,1,30.5598289604902
0.8,0.05,800,0.000837758040957278,0.8,0.8,0.8,0,0,0,1,1,1,0.999999827338359,7.26094573531478e-05,1,22.5872989762169
0.8,0.05,1000,0.0010471975511966,0.8,0.8,0.8,0,0,0,1,1,1,0.999999731475616,9.1386804918601e-05,1,17.8500514748198
0.8,0.1,0,0,0.8,0.8,0.8,0,0,0,1,1,1,1,5.29588092909377e-17,1,7538168888405
0.8,0.1,200,0.000418879020478639,0.8,0.8,0.8,0,0,0,1,1,1,0.999999956380377,3.54407891814449e-05,1,46.7732668250495
0.8,0.1,400,0.000837758040957278,0.8,0.8,0.8,0,0,0,1,1,1,0.999999827288989,7.26502756270693e-05,1,22.5742143071252
0.8,0.1,600,0.00125663706143592,0.8,0.8,0.8,0,0,0,1,1,1,0.999999614611654,0.000110381860239631,1,14.6993527365703
0.8,0.1,800,0.00167551608191456,0.8,0.8,0.8,0,0,0,1,1,1,0.999999319487428,0.00014848563962642,1,10.8134319438747
0.8,0.1,1000,0.0020943951023932,0.8,0.8,0.8,0,0,0,1,1,1,0.99999894257159,0.000186716725074669,1,8.5128409365463
0.8,0.2,0,0,0.8,0.8,0.8,0,0,0,1,1,1,1,8.95359335323638e-17,1,7538168888404.66
