method,target_snr_db,measured_snr_db,noise_ratio,repeat_id,seed,g_used_mm,gap_error_mm,f1_Hz,f2_Hz,A1_mm,A2_mm,mean_freq_error_Hz,mean_amp_error_mm,rmse,elapsed_s,is_success,f1_boundary_hit,f2_boundary_hit,freq_boundary_hit,a2_eta_dynamic,a2_cond_dynamic
C_same_gap_direct,10,10.0285079842864,0.0525432124279254,1,20263431,1,0,500.101719385947,1299.77238512172,0.242377305259258,0.159340262570786,0.164667132113578,0.00848147865576387,0.00572141045265792,0.1565636,1,0,0,0,NaN,NaN
A_blind_transfer,10,9.96529908871615,0.0525432124279254,2,20263432,NaN,NaN,500.156454218847,1299.69720016863,0.241797982465207,0.135296419093266,0.229627025109153,0.0114527992207633,0.00590438078568313,2.0266589,1,0,0,0,NaN,NaN
A2_constrained_varpro,10,9.96529908871615,0.0525432124279254,2,20263432,NaN,NaN,500.104249811836,1300.00586093012,0.262535182374472,0.143372230289302,0.0550553709764472,0.00958147604258534,0.0059464866669365,0.8499036,1,0,0,0,0.966025819610663,2.1668028164172
A3_physics_template,10,9.96529908871615,0.0525432124279254,2,20263432,NaN,NaN,500.101657673025,1300.01927813406,0.262368388768055,0.143054528415455,0.0604679035420759,0.00965693017630011,0.0059484802431053,1.2419334,1,0,0,0,0.966021502434191,2.15775828456003
B_gap_library_joint,10,9.96529908871615,0.0525432124279254,2,20263432,0.99453858247595,0.00546141752404972,500.107671310562,1300.01382493503,0.258694719648343,0.147933718665566,0.0607481227966389,0.0053805004913887,0.00597974808652396,0.33124,1,0,0,0,NaN,NaN
C_same_gap_direct,10,9.96529908871615,0.0525432124279254,2,20263432,1,0,500.120941402936,1300.02445065993,0.262337955330465,0.143505896914274,0.0726960314352425,0.00941602920809563,0.00598049316222777,0.1669248,1,0,0,0,NaN,NaN
A_blind_transfer,10,9.9349890872554,0.0525432124279254,3,20263433,NaN,NaN,500.209683325554,1299.75361314412,0.249255712581225,0.155979147430879,0.228035090717185,0.00336171742482677,0.00562885299475895,2.4044206,1,0,0,0,NaN,NaN
A2_constrained_varpro,10,9.9349890872554,0.0525432124279254,3,20263433,NaN,NaN,500.116303218604,1300.03674036956,0.252491283155114,0.142193793568453,0.0765217940826517,0.00514874479333043,0.00572184463689883,0.9803707,1,0,0,0,0.966026439468331,2.16499136540517
A3_physics_template,10,9.9349890872554,0.0525432124279254,3,20263433,NaN,NaN,500.138743870269,1300.02609636436,0.252369831035871,0.140857693121615,0.0824201173165306,0.00575606895712792,0.00572184729924514,1.2388834,1,0,0,0,0.965838129527566,2.15781762668456
B_gap_library_joint,10,9.9349890872554,0.0525432124279254,3,20263433,0.993415321731284,0.00658467826871623,500.125255323382,1300.0497890257,0.251443312126716,0.140517215265819,0.0875221745435795,0.00546304843044869,0.0057644481376771,0.3852577,1,0,0,0,NaN,NaN
C_same_gap_direct,10,9.9349890872554,0.0525432124279254,3,20263433,1,0,500.117434631961,1300.03109581014,0.252739149179949,0.140655447299277,0.0742652210510073,0.00604185094033609,0.00576107069709046,0.1873868,1,0,0,0,NaN,NaN
A_blind_transfer,10,9.9447418747223,0.0525432124279254,4,20263434,NaN,NaN,499.600294263465,1300.31723750852,0.254323294953884,0.173183494871287,0.358471622528839,0.0137533949125856,0.00565372177515802,2.5729044,1,0,0,0,NaN,NaN
A2_constrained_varpro,10,9.9447418747223,0.0525432124279254,4,20263434,NaN,NaN,499.922478749852,1300.21847473527,0.239280113458617,0.160134241583118,0.147997992707758,0.0104270640622502,0.00579025249074407,0.9334849,1,0,0,0,0.966234763423792,2.165358859642
A3_physics_template,10,9.9447418747223,0.0525432124279254,4,20263434,NaN,NaN,499.922801672288,1300.22134094893,0.238366254554294,0.161683932753445,0.149269638318685,0.0116588390995754,0.00579507724545076,1.3986809,1,0,0,0,0.966291422175384,2.1667900584127
B_gap_library_joint,10,9.9447418747223,0.0525432124279254,4,20263434,0.993271344531682,0.00672865546831802,499.933525662987,1300.21709683342,0.23544976779311,0.165377964146426,0.141785585214734,0.0149640981766577,0.00582360854628555,0.360733,1,0,0,0,NaN,NaN
C_same_gap_direct,10,9.9447418747223,0.0525432124279254,4,20263434,1,0,499.950755646935,1300.21045418169,0.239596019424225,0.159749038867006,0.129849267376358,0.0100765097213904,0.00582597610157715,0.1512054,1,0,0,0,NaN,NaN
A_blind_transfer,10,9.99247534366377,0.0525432124279254,5,20263435,NaN,NaN,500.324332972557,1299.85835482407,0.249043267281887,0.121003584690138,0.232989074242312,0.0149765740139871,0.0058132241284859,2.0273228,1,0,0,0,NaN,NaN
A2_constrained_varpro,10,9.99247534366377,0.0525432124279254,5,20263435,NaN,NaN,500.10219949414,1299.99727125156,0.24857247524015,0.139143597631066,0.0524641212898018,0.00614196356439238,0.00591813652336963,0.9820001,1,0,0,0,0.965987148781859,2.16188790684035
A3_physics_template,10,9.99247534366377,0.0525432124279254,5,20263435,NaN,NaN,500.093390752905,1300.01253196236,0.248661828422976,0.13912335367362,0.0529613576351267,0.00610740895170223,0.0059217478079999,1.4545439,1,0,0,0,0.966104427778459,2.16513721781321
B_gap_library_joint,10,9.99247534366377,0.0525432124279254,5,20263435,0.991472296447626,0.0085277035523742,500.087507337824,1299.97473988357,0.247548101790932,0.13838849199169,0.0563837271256773,0.00703170310868904,0.00595560101213061,0.3052533,1,0,0,0,NaN,NaN
C_same_gap_direct,10,9.99247534366377,0.0525432124279254,5,20263435,1,0,500.079128236033,1299.98578189223,0.245784056665415,0.140942912836314,0.0466731719010056,0.00663651524913558,0.00595769967694598,0.1998639,1,0,0,0,NaN,NaN
A_blind_transfer,5,4.9671044274919,0.093436512797881,1,20264431,NaN,NaN,500.248828071062,1299.18945269982,0.252188260723892,0.145113487232738,0.529687685622463,0.00353738674557737,0.0101873688728247,1.7179661,1,0,0,0,NaN,NaN
A2_constrained_varpro,5,4.9671044274919,0.093436512797881,1,20264431,NaN,NaN,500.193688514323,1299.71283169715,0.255422035052203,0.157766457600894,0.240428408587832,0.00659424632654834,0.0105128146771734,0.9709829,1,0,0,0,0.9661703835002,2.12604575183542
A3_physics_template,5,4.9671044274919,0.093436512797881,1,20264431,NaN,NaN,500.201126513276,1299.6939945126,0.25003430944864,0.155740697055626,0.253566000338566,0.00288750325213268,0.0105309220857711,1.3919313,1,0,0,0,0.966243128115545,2.12313692061831
B_gap_library_joint,5,4.9671044274919,0.093436512797881,1,20264431,0.989146844057518,0.0108531559424824,500.156455369514,1299.75173624727,0.251202947777393,0.155668506029771,0.202359561124382,0.0034357269035822,0.0105619667793454,0.355728,1,0,0,0,NaN,NaN
C_same_gap_direct,5,4.9671044274919,0.093436512797881,1,20264431,1,0,500.163098374951,1299.74180721545,0.252091511328116,0.153428461658037,0.210645579750349,0.00275998649307639,0.0105661511784264,0.1735906,1,0,0,0,NaN,NaN
A_blind_transfer,5,5.02688077730701,0.093436512797881,2,20264432,NaN,NaN,500.353021356561,1299.18951983048,0.287595546618633,0.151148625026334,0.58175076304056,0.0193720858224834,0.0102639305468659,2.1045355,1,0,0,0,NaN,NaN
A2_constrained_varpro,5,5.02688077730701,0.093436512797881,2,20264432,NaN,NaN,500.009146826602,1249.97845804224,0.301284334667947,0.131109273911866,25.0153443921827,0.0350875303780406,0.0104447038125668,1.0488604,0,0,0,0,0.983282078560527,1.44062879233761
A3_physics_template,5,5.02688077730701,0.093436512797881,2,20264432,NaN,NaN,500.115777105378,1249.51563616558,0.318060513671017,0.13166520306206,25.3000704698994,0.0431976553044783,0.0104465708319516,1.5596732,0,0,0,0,0.982751846294879,1.44416428789511
B_gap_library_joint,5,5.02688077730701,0.093436512797881,2,20264432,0.989957622465699,0.0100423775343013,500.089984893943,1299.65606438715,0.265176752338725,0.157494867381106,0.216960253394291,0.0113358098599158,0.0105244318695604,0.3715484,1,0,0,0,NaN,NaN
C_same_gap_direct,5,5.02688077730701,0.093436512797881,2,20264432,1,0,500.064975126122,1299.68322614116,0.266800360026991,0.153062450007017,0.190874492479679,0.00993140501700415,0.0105182684212595,0.1716117,1,0,0,0,NaN,NaN
A_blind_transfer,5,5.02851588991717,0.093436512797881,3,20264433,NaN,NaN,500.41478024888,1300.17254972084,0.271530999248494,0.13767528699745,0.293664984861977,0.016927856125522,0.0101381839580948,1.974321,1,0,0,0,NaN,NaN
A2_constrained_varpro,5,5.02851588991717,0.093436512797881,3,20264433,NaN,NaN,500.207889461969,1299.8433713732,0.265069709196911,0.135109431594571,0.182259044384324,0.0149801388011699,0.0103822115840597,1.3026423,1,0,0,0,0.965981679773673,2.14131820825188
A3_physics_template,5,5.02851588991717,0.093436512797881,3,20264433,NaN,NaN,500.212904256239,1299.82842585587,0.266786198159353,0.137010645887705,0.192239200185696,0.0148877761358239,0.0103813356704559,1.6254291,1,0,0,0,0.966070656044038,2.14136360362666
B_gap_library_joint,5,5.02851588991717,0.093436512797881,3,20264433,0.993218132702449,0.00678186729755126,500.218241481674,1299.90750029254,0.257643675280088,0.148736003240149,0.155370594568694,0.00445383601996968,0.0104396101267744,0.3866182,1,0,0,0,NaN,NaN
C_same_gap_direct,5,5.02851588991717,0.093436512797881,3,20264433,1,0,500.250782416217,1299.88814507035,0.257198454484161,0.148656652336473,0.181318672933799,0.00427090107384415,0.0104350518228069,0.2066313,1,0,0,0,NaN,NaN
A_blind_transfer,5,4.97653409392898,0.093436512797881,4,20264434,NaN,NaN,499.724429650275,1299.55074632353,0.253374061326288,0.141018161485971,0.362412013095053,0.00617794992015876,0.00993099094206626,2.3166187,1,0,0,0,NaN,NaN
A2_constrained_varpro,5,4.97653409392898,0.093436512797881,4,20264434,NaN,NaN,499.8462915119,1299.92166250814,0.275761565799112,0.146423359759499,0.116022989977807,0.0146691030198064,0.0101940778083966,0.9857715,1,0,0,0,0.966537037840041,2.16031863188146
A3_physics_template,5,4.97653409392898,0.093436512797881,4,20264434,NaN,NaN,499.840511429696,1299.9180122754,0.274922419136063,0.146667756328506,0.120738147452556,0.0141273314037783,0.0101945054494255,1.9579233,1,0,0,0,0.966637476241886,2.15584652630332
B_gap_library_joint,5,4.97653409392898,0.093436512797881,4,20264434,0.993054297787965,0.00694570221203528,499.849886090482,1299.96492094027,0.274451551929936,0.147458683060226,0.0925964846235274,0.0134964344348547,0.0102198962015468,0.332638,1,0,0,0,NaN,NaN
C_same_gap_direct,5,4.97653409392898,0.093436512797881,4,20264434,1,0,499.853616898825,1299.92527083765,0.271879408969848,0.150236981227017,0.110556131760006,0.0110581950984325,0.0102184093826929,0.1943343,1,0,0,0,NaN,NaN
A_blind_transfer,5,5.06167559527336,0.093436512797881,5,20264435,NaN,NaN,499.782695308576,1250.32982691591,0.263805862472778,0.114201473120784,24.9437388877575,0.0248021946759971,0.00990444038254243,1.8154967,0,0,0,0,NaN,NaN
