subset_size,subset_idx,subset_gaps_mm,n_holdout,include_min_gap,include_ref_gap,include_both_endpoints,max_gap_spacing_mm,mean_holdout_rmse_pF,max_holdout_rmse_pF,mean_holdout_shape_rmse,max_holdout_shape_rmse,mean_holdout_amp_rel_err,max_holdout_amp_rel_err
3,2-3-6,"0.4,0.6,1.2",4,0,0,0,0.6,0.0300148859456731,0.0925982709980721,0.000498972956533307,0.000676908122271959,0.200227194894559,0.425033348100817
3,2-3-7,"0.4,0.6,1.4",4,0,1,0,0.8,0.0273179571889015,0.100881026818013,0.000409405768928421,0.000625201570574414,0.112237782876569,0.326173518234149
3,2-4-5,"0.4,0.8,1.0",4,0,0,0,0.4,0.0328970228322595,0.0752388848931726,0.000687282353673061,0.0010361890864535,0.31920043287595,0.823019159593537
3,2-4-6,"0.4,0.8,1.2",4,0,0,0,0.4,0.025546330939034,0.0812598942750407,0.00056037004638985,0.000865228692558556,0.154570081136814,0.297126560307567
3,2-4-7,"0.4,0.8,1.4",4,0,1,0,0.6,0.0238479892015856,0.0857830232548404,0.000460241702328199,0.000789059842615957,0.099373083031321,0.277399551428282
3,2-5-6,"0.4,1.0,1.2",4,0,0,0,0.6,0.0255714504353889,0.083166108260083,0.000470287685551456,0.000774195789395247,0.128225497177854,0.268907949645854
3,2-5-7,"0.4,1.0,1.4",4,0,1,0,0.6,0.0253151071096506,0.0868623471234173,0.000429919995299254,0.000751023869371507,0.105256541643525,0.280875628342688
3,2-6-7,"0.4,1.2,1.4",4,0,1,0,0.8,0.0283815251206819,0.0890148647060664,0.000465504023732493,0.000778296677584983,0.132083404681074,0.287823126065724
3,3-4-5,"0.6,0.8,1.0",4,0,0,0,0.2,0.0397503109149179,0.110557487016492,0.0019482959027908,0.00281912553399108,0.273795461392541,0.547566843352523
3,3-4-6,"0.6,0.8,1.2",4,0,0,0,0.4,0.0425330009979331,0.140855524357161,0.000694527557385979,0.000993048719706812,0.187625888230275,0.455337689692083
3,3-4-7,"0.6,0.8,1.4",4,0,1,0,0.6,0.0481934810865625,0.165797596759655,0.000660967793956632,0.00149771434069761,0.178915199106412,0.535964032870065
3,3-5-6,"0.6,1.0,1.2",4,0,0,0,0.4,0.0333350099500461,0.111478572149562,0.000799278254555494,0.0015736454558558,0.13587087981949,0.360446233210709
3,3-5-7,"0.6,1.0,1.4",4,0,1,0,0.4,0.0358624583947454,0.12194746618411,0.000547328337638277,0.000982808768470957,0.13310534346475,0.394304872711018
3,3-6-7,"0.6,1.2,1.4",4,0,1,0,0.6,0.0357876232370392,0.11850318322188,0.000667890820888074,0.00133526150734888,0.138236757135756,0.383157991647668
3,4-5-6,"0.8,1.0,1.2",4,0,0,0,0.2,0.0450290350291959,0.141206040722904,0.00236462101499729,0.00495464499779319,0.18219179029602,0.456894632780456
3,4-5-7,"0.8,1.0,1.4",4,0,1,0,0.4,0.060564583725065,0.186986280759338,0.00159087512701292,0.00449723455678382,0.236010543394552,0.604773075462035
3,4-6-7,"0.8,1.2,1.4",4,0,1,0,0.4,0.0429632020581663,0.134600451550596,0.00194772785889968,0.0042820428991071,0.167067202628288,0.435130512116158
3,5-6-7,"1.0,1.2,1.4",4,0,1,0,0.2,0.0562064728703016,0.164214400891631,0.00579459661506646,0.012337665236977,0.230372040421372,0.531440369555466
4,1-2-3-4,"0.2,0.4,0.6,0.8",3,1,0,0,0.2,0.0968392255021541,0.195784634079101,0.002295215486239,0.00399520591605177,1.78922753225606,3.86705361725854
4,1-2-3-5,"0.2,0.4,0.6,1.0",3,1,0,0,0.4,0.0346435786971882,0.0793153852345734,0.000806866378914434,0.00140080651019658,0.653165477083297,1.56698892125625
4,1-2-3-6,"0.2,0.4,0.6,1.2",3,1,0,0,0.6,0.00915375759487339,0.0215145438696752,0.000439661234620422,0.000667623876644317,0.167168176816417,0.425033348100817
4,1-2-3-7,"0.2,0.4,0.6,1.4",3,1,1,1,0.8,0.00279693397919778,0.00450897798210315,0.000337473835046423,0.000369255668804085,0.0409258710907094,0.0740433115490381
4,1-2-4-5,"0.2,0.4,0.8,1.0",3,1,0,0,0.4,0.017800097491591,0.0416555954620681,0.000555879166021769,0.000845964479931868,0.336492318605619,0.823019159593537
4,1-2-4-6,"0.2,0.4,0.8,1.2",3,1,0,0,0.4,0.00581307486055283,0.0150431141773976,0.000449778038382334,0.0007426369281551,0.109041102947436,0.297126560307567
4,1-2-4-7,"0.2,0.4,0.8,1.4",3,1,1,1,0.6,0.00193047896650208,0.003920676077925,0.000344666113559285,0.000396118911394007,0.0295431314748536,0.0643609966221963
4,1-2-5-6,"0.2,0.4,1.0,1.2",3,1,0,0,0.6,0.00377972689209437,0.00672226525435288,0.000367151744535066,0.00048274776897815,0.0580729093908567,0.132841249463145
4,1-2-5-7,"0.2,0.4,1.0,1.4",3,1,1,1,0.6,0.00180731360085291,0.00280125391044409,0.000324303466284149,0.000353929383130832,0.019879835152645,0.0257376196680631
4,1-2-6-7,"0.2,0.4,1.2,1.4",3,1,1,1,0.8,0.00352679576360462,0.00563211835834622,0.000342769916678872,0.000377017245110938,0.034096111681724,0.0457489625130147
4,1-3-4-5,"0.2,0.6,0.8,1.0",3,1,0,0,0.4,0.0176801931604862,0.0277403164570351,0.00142597799036178,0.00281912553399108,0.254635751317165,0.547566843352523
4,1-3-4-6,"0.2,0.6,0.8,1.2",3,1,0,0,0.4,0.00935159273951051,0.0186421277799343,0.000561583316759568,0.000993048719706812,0.0960559527452594,0.170959761997118
4,1-3-4-7,"0.2,0.6,0.8,1.4",3,1,1,1,0.6,0.00702406509557623,0.0186421277799343,0.000372363749153747,0.000402605103914998,0.0486009673140133,0.107140892589287
4,1-3-5-6,"0.2,0.6,1.0,1.2",3,1,0,0,0.4,0.00791060600336568,0.0198040650860614,0.000438132882026862,0.00061523526397235,0.0627457407023231,0.113820577934236
4,1-3-5-7,"0.2,0.6,1.0,1.4",3,1,1,1,0.4,0.00703734905197577,0.0198040650860614,0.000352900710932333,0.000362089384817308,0.0439394176113459,0.113820577934236
4,1-3-6-7,"0.2,0.6,1.2,1.4",3,1,1,1,0.6,0.00691320603513186,0.0204557113369905,0.000345876434305365,0.000363508529842147,0.0402469559091175,0.11756785309918
4,1-4-5-6,"0.2,0.8,1.0,1.2",3,1,0,0,0.6,0.0176486896268362,0.0361322444513274,0.000626536713482162,0.00105202718018633,0.124537987624619,0.207664998677552
4,1-4-5-7,"0.2,0.8,1.0,1.4",3,1,1,1,0.6,0.0168650574233857,0.0361322444513274,0.000394767075205844,0.000454902953745832,0.10884247486435,0.207664998677552
4,1-4-6-7,"0.2,0.8,1.2,1.4",3,1,1,1,0.6,0.0180521464448529,0.0385334808491751,0.00037071347984355,0.000449018392219228,0.117419603512013,0.221474998770631
4,1-5-6-7,"0.2,1.0,1.2,1.4",3,1,1,1,0.8,0.0306946864913141,0.0492654433959904,0.000369571472282617,0.00044781661328847,0.219612721062027,0.283123746311359
4,2-3-4-5,"0.4,0.6,0.8,1.0",3,0,0,0,0.2,0.0342529527015276,0.0683604064030584,0.0016707603880191,0.00281912553399108,0.292591060535328,0.547566843352523
4,2-3-4-6,"0.4,0.6,0.8,1.2",3,0,0,0,0.4,0.0259243522805519,0.0683604064030584,0.00080636571441689,0.00109245607101015,0.134011261963422,0.221006820243775
4,2-3-4-7,"0.4,0.6,0.8,1.4",3,0,1,0,0.6,0.0235968246366176,0.0683604064030584,0.00061714614681107,0.00109245607101015,0.0865562765321761,0.221006820243775
4,2-3-5-6,"0.4,0.6,1.0,1.2",3,0,0,0,0.4,0.0288339261476715,0.0822171223175932,0.000566851477457938,0.000747043502368398,0.114667672292936,0.265836305359473
4,2-3-5-7,"0.4,0.6,1.0,1.4",3,0,1,0,0.4,0.0277928270088534,0.0822171223175932,0.000481631972646449,0.000747043502368398,0.0940670123129187,0.265836305359473
4,2-3-6-7,"0.4,0.6,1.2,1.4",3,0,1,0,0.6,0.0317775319740129,0.0925982709980721,0.000450667405543471,0.000676908122271959,0.110352545936541,0.299404249128986
4,2-4-5-6,"0.4,0.8,1.0,1.2",3,0,0,0,0.4,0.0271546285317027,0.0752388848931726,0.000808681147201192,0.00105202718018633,0.107733114853093,0.243328018671903
4,2-4-5-7,"0.4,0.8,1.0,1.4",3,0,1,0,0.4,0.0263709963282522,0.0752388848931726,0.000576911508924874,0.0010361890864535,0.0920376020928242,0.243328018671903
4,2-4-6-7,"0.4,0.8,1.2,1.4",3,0,1,0,0.4,0.0284170926900311,0.0812598942750407,0.000494757363271321,0.000865228692558556,0.098605578547595,0.262776822446264
4,2-5-6-7,"0.4,1.0,1.2,1.4",3,0,1,0,0.6,0.0318545121624009,0.083166108260083,0.000466134324409224,0.000774195789395247,0.126686913082757,0.268907949645854
4,3-4-5-6,"0.6,0.8,1.0,1.2",3,0,0,0,0.2,0.0423716596578313,0.110557487016492,0.00164179523276746,0.00276605168637294,0.162697819947425,0.357640609235446
4,3-4-5-7,"0.6,0.8,1.0,1.4",3,0,1,0,0.4,0.0415880274543808,0.110557487016492,0.00141002559449114,0.00276605168637294,0.147002307187156,0.357640609235446
4,3-4-6-7,"0.6,0.8,1.2,1.4",3,0,1,0,0.4,0.0536717195277432,0.140855524357161,0.00058417420837687,0.00090562711439301,0.1911370745656,0.455337689692083
4,3-5-6-7,"0.6,1.0,1.2,1.4",3,0,1,0,0.4,0.0432542542984804,0.111478572149562,0.000860625918083209,0.0015736454558558,0.157597733987316,0.360446233210709
4,4-5-6-7,"0.8,1.0,1.2,1.4",3,0,1,0,0.2,0.0592013177004789,0.141206040722904,0.00280215229326761,0.00495464499779319,0.22636306184992,0.456894632780456
5,1-2-3-4-5,"0.2,0.4,0.6,0.8,1.0",2,1,0,0,0.2,0.0171992258507622,0.0277403164570351,0.00195991254652357,0.00281912553399108,0.328383180681105,0.547566843352523
5,1-2-3-4-6,"0.2,0.4,0.6,0.8,1.2",2,1,0,0,0.4,0.00470632521929861,0.00865728734160906,0.000663320536120262,0.000993048719706812,0.0905134828232458,0.170959761997118
5,1-2-3-4-7,"0.2,0.4,0.6,0.8,1.4",2,1,1,1,0.6,0.0012150337533972,0.00204392614186336,0.000379491184711531,0.000402605103914998,0.0193310046763766,0.0335467945413423
5,1-2-3-5-6,"0.2,0.4,0.6,1.0,1.2",2,1,0,0,0.4,0.00214232806271073,0.00357727690474307,0.000476755465002708,0.00061523526397235,0.0390833557596683,0.0706903173160133
5,1-2-3-5-7,"0.2,0.4,0.6,1.0,1.4",2,1,1,1,0.4,0.000580679354483497,0.000705943506374399,0.000348926207785474,0.000355580152339532,0.00818236578964168,0.0115798427095209
5,1-2-3-6-7,"0.2,0.4,0.6,1.2,1.4",2,1,1,1,0.6,0.00136716246198335,0.001773619825431,0.000337547047179227,0.000359904052290621,0.0158266943403189,0.0188302704846052
5,1-2-4-5-6,"0.2,0.4,0.8,1.0,1.2",2,1,0,0,0.4,0.00163804337042157,0.00251218701534691,0.00067227576248832,0.00105202718018633,0.0279372844361688,0.0496779756343211
5,1-2-4-5-7,"0.2,0.4,0.8,1.0,1.4",2,1,1,1,0.4,0.000462595065245859,0.000763899725496227,0.000324621305073843,0.000356718265357381,0.00439401529576503,0.00619659323801644
5,1-2-4-6-7,"0.2,0.4,0.8,1.2,1.4",2,1,1,1,0.4,0.000252589447807823,0.000378802511464905,0.000296063009700782,0.000299427071968745,0.00232985996891918,0.00305002291432583
5,1-2-5-6-7,"0.2,0.4,1.0,1.2,1.4",2,1,1,1,0.6,0.00230845771096512,0.00305570454435381,0.000309353732313525,0.000338076288771138,0.0206887393547124,0.0248136784530297
5,1-3-4-5-6,"0.2,0.6,0.8,1.0,1.2",2,1,0,0,0.4,0.0105771573976406,0.0186421277799343,0.000705068029112257,0.00105202718018633,0.0784094341118038,0.107140892589287
5,1-3-4-5-7,"0.2,0.6,0.8,1.0,1.4",2,1,1,1,0.4,0.00940170909246489,0.0186421277799343,0.00035741357169778,0.000358108878038179,0.0548661649714001,0.107140892589287
5,1-3-4-6-7,"0.2,0.6,0.8,1.2,1.4",2,1,1,1,0.4,0.00946896640501447,0.0186421277799343,0.000329581172932698,0.000358108878038179,0.0555377645057385,0.107140892589287
5,1-3-5-6-7,"0.2,0.6,1.0,1.2,1.4",2,1,1,1,0.4,0.010077270552677,0.0198040650860614,0.000349581691054119,0.000362089384817308,0.058773452395478,0.113820577934236
5,1-4-5-6-7,"0.2,0.8,1.0,1.2,1.4",2,1,1,1,0.6,0.0252169409325809,0.0361322444513274,0.000413791480130075,0.000454902953745832,0.161967993619767,0.207664998677552
5,2-3-4-5-6,"0.4,0.6,0.8,1.0,1.2",2,0,0,0,0.2,0.0354362967092027,0.0683604064030584,0.00107224162559824,0.00109245607101015,0.135342397939048,0.221006820243775
5,2-3-4-5-7,"0.4,0.6,0.8,1.0,1.4",2,0,1,0,0.4,0.034260848404027,0.0683604064030584,0.000724587168183764,0.00109245607101015,0.111799128798644,0.221006820243775
5,2-3-4-6-7,"0.4,0.6,0.8,1.2,1.4",2,0,1,0,0.4,0.0343281057165765,0.0683604064030584,0.000696754769418682,0.00109245607101015,0.112470728332983,0.221006820243775
5,2-3-5-6-7,"0.4,0.6,1.0,1.2,1.4",2,0,1,0,0.4,0.0414622507691358,0.0822171223175932,0.000542659584200733,0.000747043502368398,0.136656349781398,0.265836305359473
5,2-4-5-6-7,"0.4,0.8,1.0,1.2,1.4",2,0,1,0,0.4,0.0394758492898805,0.0752388848931726,0.000687008130708621,0.0010361890864535,0.136760684462479,0.243328018671903
5,3-4-5-6-7,"0.6,0.8,1.0,1.2,1.4",2,0,1,0,0.2,0.0623013959790735,0.110557487016492,0.00193667925905802,0.00276605168637294,0.219207742103977,0.357640609235446
6,1-2-3-4-5-6,"0.2,0.4,0.6,0.8,1.0,1.2",1,1,0,0,0.2,0.00251218701534691,0.00251218701534691,0.00105202718018633,0.00105202718018633,0.0496779756343211,0.0496779756343211
6,1-2-3-4-5-7,"0.2,0.4,0.6,0.8,1.0,1.4",1,1,1,1,0.4,0.000161290404995491,0.000161290404995491,0.000356718265357381,0.000356718265357381,0.00259143735351363,0.00259143735351363
6,1-2-3-4-6-7,"0.2,0.4,0.6,0.8,1.2,1.4",1,1,1,1,0.4,0.000295805030094642,0.000295805030094642,0.000301053467827218,0.000301053467827218,0.00393463642219043,0.00393463642219043
6,1-2-3-5-6-7,"0.2,0.4,0.6,1.0,1.2,1.4",1,1,1,1,0.4,0.000707379220678392,0.000707379220678392,0.000338275666033067,0.000338275666033067,0.0074763942033234,0.0074763942033234
6,1-2-4-5-6-7,"0.2,0.4,0.8,1.0,1.2,1.4",1,1,1,1,0.4,0.000763899725496227,0.000763899725496227,0.000292524344790304,0.000292524344790304,0.00619659323801644,0.00619659323801644
6,1-3-4-5-6-7,"0.2,0.6,0.8,1.0,1.2,1.4",1,1,1,1,0.4,0.0186421277799343,0.0186421277799343,0.000358108878038179,0.000358108878038179,0.107140892589287,0.107140892589287
6,2-3-4-5-6-7,"0.4,0.6,0.8,1.0,1.2,1.4",1,0,1,0,0.2,0.0683604064030584,0.0683604064030584,0.00109245607101015,0.00109245607101015,0.221006820243775,0.221006820243775
